binary_acc,loss,val_binary_acc,val_loss,epoch
0.5514583587646484,0.6934570074081421,0.49235475063323975,0.7110788822174072,0
0.5831249952316284,0.6730507612228394,0.5351681709289551,0.6904639005661011,1
0.596666693687439,0.6624374389648438,0.4901703894138336,0.9872767329216003,2
0.6144791841506958,0.6527301669120789,0.4862385392189026,0.8363077044487,3
0.6338541507720947,0.6389270424842834,0.581476628780365,0.6837565302848816,4
0.6413541436195374,0.6315702795982361,0.4919178783893585,0.8200639486312866,5
0.6523958444595337,0.6209989190101624,0.5089558959007263,1.4852498769760132,6
0.6608333587646484,0.6131300926208496,0.5181301832199097,1.0122612714767456,7
0.6635416746139526,0.6107000112533569,0.5683704614639282,0.7492911219596863,8
0.6727083325386047,0.602691113948822,0.5530799627304077,0.910682737827301,9
