accuracy,f1,roc_auc,fold,n_train,n_val
0.5707423580786026,0.5052843482637142,0.5947383561445235,0,9156,2290
0.581476627348187,0.49042553191489363,0.6225238999311145,1,9157,2289
0.561817387505461,0.40545346769413165,0.6051464063886425,2,9157,2289
0.5762341633901267,0.5590909090909092,0.5949990211253388,3,9157,2289
0.5548274355613805,0.31195138419986496,0.6328523875114784,4,9157,2289
