binary_acc,loss,val_binary_acc,val_loss,epoch
0.5178124904632568,0.7536984086036682,0.5089558959007263,0.7328293323516846,0
0.551562488079071,0.6982863545417786,0.5198776721954346,0.7648520469665527,1
0.5618749856948853,0.6810682415962219,0.5290519595146179,0.7096205949783325,2
0.5831249952316284,0.6779962778091431,0.5347313284873962,0.6951082944869995,3
0.5846874713897705,0.6730937361717224,0.5159458518028259,0.7863792777061462,4
0.5821874737739563,0.6666353344917297,0.5242463946342468,0.7415100932121277,5
0.6059374809265137,0.6623311042785645,0.581476628780365,0.6832495927810669,6
0.6078125238418579,0.6656820178031921,0.5522062182426453,0.7003162503242493,7
0.6137499809265137,0.6642137169837952,0.5190039277076721,0.7426350116729736,8
0.6075000166893005,0.6552451252937317,0.5334206819534302,0.7084664702415466,9
